,Unnamed: 0.1,date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,outcome,year,is_valid,continent
3931,6131,1966-04-26,Togo,Benin,1.0,0.0,Friendly,Lomé,Togo,0.0,1.0,1966,True,Africa
3932,6133,1966-05-03,Poland,Hungary,1.0,1.0,Friendly,Chorzów,Poland,0.0,0.0,1966,True,Europe
3933,6134,1966-05-04,England,Yugoslavia,2.0,0.0,Friendly,London,England,0.0,1.0,1966,True,Europe
3934,6135,1966-05-04,Republic_of_Ireland,Germany,0.0,4.0,Friendly,Dublin,Republic_of_Ireland,0.0,2.0,1966,True,Europe
3935,6136,1966-05-07,Northern_Ireland,Germany,0.0,2.0,Friendly,Belfast,Northern_Ireland,0.0,2.0,1966,True,Europe
3936,6137,1966-05-08,Finland,Israel,0.0,3.0,Friendly,Helsinki,Finland,0.0,2.0,1966,True,Europe
3937,6138,1966-05-08,Yugoslavia,Hungary,2.0,0.0,Friendly,Zagreb,Yugoslavia,0.0,1.0,1966,True,Europe
3938,6139,1966-05-11,Mexico,Chile,1.0,0.0,Friendly,Mexico_City,Mexico,0.0,1.0,1966,True,America
3939,6140,1966-05-11,Scotland,Netherlands,0.0,3.0,Friendly,Glasgow,Scotland,0.0,2.0,1966,True,Europe
3940,6141,1966-05-14,Brazil,Wales,3.0,1.0,Friendly,Rio_de_Janeiro,Brazil,0.0,1.0,1966,True,America
3941,6142,1966-05-15,Brazil,Chile,1.0,1.0,Friendly,São_Paulo,Brazil,0.0,0.0,1966,True,America
3942,6143,1966-05-15,Paraguay,Uruguay,2.0,2.0,Copa_Artigas,Asunción,Paraguay,0.0,0.0,1966,True,America
3943,6144,1966-05-18,Brazil,Wales,1.0,0.0,Friendly,Belo_Horizonte,Brazil,0.0,1.0,1966,True,America
3944,6145,1966-05-18,Czechoslovakia,Russia,1.0,2.0,Friendly,Prague,Czechoslovakia,0.0,2.0,1966,True,Europe
3945,6146,1966-05-18,Poland,Sweden,1.0,1.0,Friendly,Wrocław,Poland,0.0,0.0,1966,True,Europe
3946,6147,1966-05-18,Uruguay,Paraguay,3.0,1.0,Copa_Artigas,Montevideo,Uruguay,0.0,1.0,1966,True,America
3947,6148,1966-05-19,Brazil,Chile,1.0,0.0,Friendly,Rio_de_Janeiro,Brazil,0.0,1.0,1966,True,America
3948,6149,1966-05-22,Austria,Republic_of_Ireland,1.0,0.0,Friendly,Vienna,Austria,0.0,1.0,1966,True,Europe
3949,6150,1966-05-22,Belgium,Russia,0.0,1.0,Friendly,Brussels,Belgium,0.0,2.0,1966,True,Europe
3950,6151,1966-05-22,Chile,Wales,2.0,0.0,Friendly,Santiago,Chile,0.0,1.0,1966,True,America
