home_team,away_team,home_score,away_score,tournament,city,country,neutral,outcome,day_of_week,month,year
Spain,Switzerland,6,3,Friendly,Madrid,Spain,False,H,Sunday,February,1951
Zimbabwe,Zambia,2,1,Friendly,Salisbury,Southern Rhodesia,False,H,Saturday,February,1951
Costa Rica,Nicaragua,8,1,CCCF Championship,Panama City,Panama,True,H,Sunday,February,1951
Panama,Costa Rica,2,0,CCCF Championship,Panama City,Panama,False,H,Tuesday,February,1951
Panama,Nicaragua,4,0,CCCF Championship,Panama City,Panama,False,H,Wednesday,February,1951
Panama,Costa Rica,1,1,CCCF Championship,Panama City,Panama,False,D,Friday,March,1951
Nicaragua,Costa Rica,1,4,CCCF Championship,Panama City,Panama,True,A,Saturday,March,1951
Panama,Nicaragua,6,2,CCCF Championship,Panama City,Panama,False,H,Sunday,March,1951
Northern Ireland,Wales,1,2,British Championship,Belfast,Northern Ireland,False,A,Wednesday,March,1951
Barbados,Grenada,1,3,Friendly,Bridgetown,Barbados,False,A,Monday,March,1951
Martinique,Guadeloupe,3,0,Friendly,Fort-de-France,Martinique,False,H,Monday,March,1951
Barbados,Grenada,3,2,Friendly,Bridgetown,Barbados,False,H,Wednesday,March,1951
Portugal,Italy,1,4,Friendly,Oeiras,Portugal,False,A,Sunday,April,1951
England,Scotland,2,3,British Championship,London,England,False,A,Saturday,April,1951
Netherlands,Belgium,5,4,Friendly,Amsterdam,Netherlands,False,H,Sunday,April,1951
Switzerland,Germany,2,3,Friendly,Zürich,Switzerland,False,A,Sunday,April,1951
Italy,Yugoslavia,0,0,Friendly,Milan,Italy,False,D,Sunday,May,1951
England,Argentina,2,1,Friendly,London,England,False,H,Wednesday,May,1951
Northern Ireland,France,2,2,Friendly,Belfast,Northern Ireland,False,D,Saturday,May,1951
Scotland,Denmark,3,1,Friendly,Glasgow,Scotland,False,H,Saturday,May,1951
Wales,Portugal,2,1,Friendly,Cardiff,Wales,False,H,Saturday,May,1951
Republic of Ireland,Argentina,0,1,Friendly,Dublin,Republic of Ireland,False,A,Sunday,May,1951
Scotland,France,1,0,Friendly,Glasgow,Scotland,False,H,Wednesday,May,1951
Wales,Switzerland,3,2,Friendly,Wrexham,Wales,False,H,Wednesday,May,1951
Guadeloupe,Martinique,1,1,Friendly,Pointe-à-Pitre,Guadeloupe,False,D,Thursday,May,1951
England,Portugal,5,2,Friendly,Liverpool,England,False,H,Saturday,May,1951
Belgium,Scotland,0,5,Friendly,Brussels,Belgium,False,A,Sunday,May,1951
Czechoslovakia,Romania,2,2,Friendly,Prague,Czechoslovakia,False,D,Sunday,May,1951
Barbados,Jamaica,3,0,Friendly,Bridgetown,Barbados,False,H,Friday,May,1951
Barbados,Jamaica,0,1,Friendly,Bridgetown,Barbados,False,A,Saturday,May,1951
Austria,Scotland,4,0,Friendly,Vienna,Austria,False,H,Sunday,May,1951
Hungary,Poland,6,0,Friendly,Budapest,Hungary,False,H,Sunday,May,1951
Barbados,Jamaica,5,2,Friendly,Bridgetown,Barbados,False,H,Monday,May,1951
Norway,Republic of Ireland,2,3,Friendly,Oslo,Norway,False,A,Wednesday,May,1951
Italy,France,4,1,Friendly,Genoa,Italy,False,H,Sunday,June,1951
Netherlands,Norway,2,3,Friendly,Rotterdam,Netherlands,False,A,Wednesday,June,1951
Belgium,Spain,3,3,Friendly,Brussels,Belgium,False,D,Sunday,June,1951
Sweden,Turkey,3,1,Friendly,Solna,Sweden,False,H,Sunday,June,1951
Denmark,Austria,3,3,Friendly,Copenhagen,Denmark,False,D,Sunday,June,1951
Germany,Turkey,1,2,Friendly,Berlin,Germany,False,A,Sunday,June,1951
Portugal,Belgium,1,1,Friendly,Oeiras,Portugal,False,D,Sunday,June,1951
Sweden,Spain,0,0,Friendly,Solna,Sweden,False,D,Sunday,June,1951
Yugoslavia,Switzerland,7,3,Friendly,Belgrade,Yugoslavia,False,H,Sunday,June,1951
Iceland,Sweden,4,3,Friendly,Reykjavík,Iceland,False,H,Friday,June,1951
Madagascar,Réunion,3,1,Friendly,Curepipe,Mauritius,True,H,Saturday,July,1951
Mauritius,Madagascar,7,1,Friendly,Curepipe,Mauritius,False,H,Thursday,July,1951
Mauritius,Réunion,10,2,Friendly,Curepipe,Mauritius,False,H,Saturday,July,1951
Norway,Iceland,3,1,Friendly,Trondheim,Norway,False,H,Thursday,July,1951
Finland,Norway,1,1,Nordic Championship,Helsinki,Finland,False,D,Thursday,August,1951
Norway,Yugoslavia,2,4,Friendly,Oslo,Norway,False,A,Thursday,August,1951
Suriname,Guyana,6,1,Friendly,Paramaribo,Suriname,False,H,Friday,August,1951
Suriname,Guyana,5,0,Friendly,Paramaribo,Suriname,False,H,Sunday,September,1951
Sweden,Finland,3,2,Nordic Championship,Solna,Sweden,False,H,Sunday,September,1951
Yugoslavia,Sweden,2,1,Friendly,Belgrade,Yugoslavia,False,H,Sunday,September,1951
Suriname,Guyana,4,0,Friendly,Paramaribo,Suriname,False,H,Sunday,September,1951
Norway,Denmark,2,0,Nordic Championship,Oslo,Norway,False,H,Sunday,September,1951
New Caledonia,New Zealand,2,0,Friendly,Nouméa,New Caledonia,False,H,Wednesday,September,1951
New Caledonia,New Zealand,4,6,Friendly,Nouméa,New Caledonia,False,A,Saturday,September,1951
Austria,Germany,0,2,Friendly,Vienna,Austria,False,A,Sunday,September,1951
New Caledonia,New Zealand,2,0,Friendly,Nouméa,New Caledonia,False,H,Monday,September,1951
Kenya,Uganda,2,1,Friendly,Dar es Salaam,Tanganyika,True,H,Tuesday,September,1951
Tanzania,Zanzibar,1,0,Friendly,Dar es Salaam,Tanganyika,False,H,Wednesday,September,1951
Tanzania,Kenya,3,2,Friendly,Dar es Salaam,Tanganyika,False,H,Saturday,September,1951
Denmark,Finland,1,0,Nordic Championship,Copenhagen,Denmark,False,H,Sunday,September,1951
New Caledonia,New Zealand,1,3,Friendly,Nouméa,New Caledonia,False,A,Sunday,September,1951
Sweden,Norway,3,4,Nordic Championship,Gothenburg,Sweden,False,A,Sunday,September,1951
England,France,2,2,Friendly,London,England,False,D,Wednesday,October,1951
New Zealand,Vanuatu,9,0,Friendly,Nouméa,New Caledonia,True,H,Thursday,October,1951
Northern Ireland,Scotland,0,3,British Championship,Belfast,Northern Ireland,False,A,Saturday,October,1951
Fiji,New Zealand,4,6,Friendly,Suva,Fiji,False,A,Sunday,October,1951
Belgium,Austria,1,8,Friendly,Brussels,Belgium,False,A,Sunday,October,1951
Czechoslovakia,Hungary,1,2,Friendly,Ostrava,Czechoslovakia,False,A,Sunday,October,1951
Switzerland,France,1,2,Friendly,Geneva,Switzerland,False,A,Sunday,October,1951
Republic of Ireland,Germany,3,2,Friendly,Dublin,Republic of Ireland,False,H,Wednesday,October,1951
Nigeria,Ghana,5,0,Friendly,Lagos,Nigeria,False,H,Saturday,October,1951
Wales,England,1,1,British Championship,Cardiff,Wales,False,D,Saturday,October,1951
Denmark,Sweden,3,1,Nordic Championship,Copenhagen,Denmark,False,H,Sunday,October,1951
Netherlands,Finland,4,4,Friendly,Rotterdam,Netherlands,False,D,Saturday,October,1951
France,Austria,2,2,Friendly,Colombes,France,False,D,Thursday,November,1951
Luxembourg,Finland,3,0,Friendly,Luxembourg,Luxembourg,False,H,Sunday,November,1951
Italy,Sweden,1,1,Friendly,Florence,Italy,False,D,Sunday,November,1951
England,Northern Ireland,2,0,British Championship,London,England,False,H,Wednesday,November,1951
Scotland,Wales,0,1,British Championship,Glasgow,Scotland,False,A,Wednesday,November,1951
Turkey,Sweden,1,0,Friendly,Istanbul,Turkey,False,H,Wednesday,November,1951
Hungary,Finland,8,0,Friendly,Budapest,Hungary,False,H,Sunday,November,1951
Turkey,Germany,0,2,Friendly,Istanbul,Turkey,False,A,Wednesday,November,1951
Greece,Egypt,1,0,Friendly,Athens,Greece,False,H,Sunday,November,1951
Netherlands,Belgium,6,7,Friendly,Rotterdam,Netherlands,False,A,Sunday,November,1951
Switzerland,Italy,1,1,International Cup,Lugano,Switzerland,False,D,Sunday,November,1951
England,Austria,2,2,Friendly,London,England,False,D,Wednesday,November,1951
Venezuela,Panama,4,1,Friendly,Caracas,Venezuela,False,H,Saturday,December,1951
Guadeloupe,Trinidad and Tobago,0,2,Friendly,Basse-Terre,Guadeloupe,False,A,Thursday,December,1951
Germany,Luxembourg,4,1,Friendly,Essen,Germany,False,H,Sunday,December,1951
Jamaica,Haiti,2,2,Friendly,Kingston,Jamaica,False,D,Wednesday,December,1951
Jamaica,Haiti,0,1,Friendly,Kingston,Jamaica,False,A,Thursday,December,1951
