,home_team,away_team,home_score,away_score,tournament,country,neutral,outcome,year
6641,Uganda,Ethiopia,2.0,3.0,Friendly,Uganda,False,Away,1967
6642,Greece,Russia,0.0,1.0,UEFA Euro qualification,Greece,False,Away,1967
6643,Italy,Cyprus,5.0,0.0,UEFA Euro qualification,Italy,False,Home,1967
6644,Netherlands,Yugoslavia,1.0,2.0,Friendly,Netherlands,False,Away,1967
6645,Malaysia,Thailand,3.0,2.0,Vietnam Independence Cup,Vietnam Republic,True,Home,1967
6646,Vietnam Republic,Singapore,2.0,0.0,Vietnam Independence Cup,Vietnam Republic,False,Home,1967
6647,Australia,New Zealand,5.0,3.0,Vietnam Independence Cup,Vietnam Republic,True,Home,1967
6648,Austria,Greece,1.0,1.0,UEFA Euro qualification,Austria,False,Draw,1967
6649,El Salvador,Guatemala,1.0,3.0,Friendly,El Salvador,False,Away,1967
6650,Hong Kong,Korea Republic,0.0,1.0,Vietnam Independence Cup,Vietnam Republic,True,Away,1967
6651,Puerto Rico,Martinique,3.0,6.0,Friendly,Puerto Rico,False,Away,1967
6652,Sweden,Norway,5.0,2.0,UEFA Euro qualification,Sweden,False,Home,1967
6653,Korea Republic,Thailand,3.0,1.0,Vietnam Independence Cup,Vietnam Republic,True,Home,1967
6654,Vietnam Republic,Australia,0.0,1.0,Vietnam Independence Cup,Vietnam Republic,False,Away,1967
6655,Chile,Argentina,3.0,1.0,Friendly,Chile,False,Home,1967
6656,Hong Kong,Malaysia,0.0,2.0,Vietnam Independence Cup,Vietnam Republic,True,Away,1967
6657,New Caledonia,New Zealand,4.0,0.0,Friendly,New Caledonia,False,Home,1967
6658,New Zealand,Singapore,3.0,1.0,Vietnam Independence Cup,Vietnam Republic,True,Home,1967
6659,Puerto Rico,Guadeloupe,2.0,4.0,Friendly,Puerto Rico,False,Away,1967
6660,Switzerland,Cyprus,5.0,0.0,UEFA Euro qualification,Switzerland,False,Home,1967
6661,Hong Kong,Thailand,1.0,5.0,Vietnam Independence Cup,Vietnam Republic,True,Away,1967
6662,Vietnam Republic,New Zealand,5.0,1.0,Vietnam Independence Cup,Vietnam Republic,False,Home,1967
6663,Australia,Singapore,5.0,1.0,Vietnam Independence Cup,Vietnam Republic,True,Home,1967
6664,Guadeloupe,Martinique,0.0,1.0,Friendly,Puerto Rico,True,Away,1967
6665,Korea Republic,Malaysia,2.0,1.0,Vietnam Independence Cup,Vietnam Republic,True,Home,1967
6666,Australia,Malaysia,1.0,0.0,Vietnam Independence Cup,Vietnam Republic,True,Home,1967
6667,Bulgaria,Sweden,3.0,0.0,UEFA Euro qualification,Bulgaria,False,Home,1967
6668,Burma,India,2.0,0.0,AFC Asian Cup qualification,Burma,False,Home,1967
6669,Portugal,Norway,2.0,1.0,UEFA Euro qualification,Portugal,False,Home,1967
6670,Vietnam Republic,Korea Republic,0.0,3.0,Vietnam Independence Cup,Vietnam Republic,False,Away,1967
6671,Yugoslavia,Albania,4.0,0.0,UEFA Euro qualification,Yugoslavia,False,Home,1967
6672,Zimbabwe,Malawi,1.0,0.0,Friendly,Rhodesia,False,Home,1967
6673,Australia,Korea Republic,3.0,2.0,Vietnam Independence Cup,Vietnam Republic,True,Home,1967
6674,Vietnam Republic,Malaysia,4.0,1.0,Vietnam Independence Cup,Vietnam Republic,False,Home,1967
6675,Burkina Faso,Mali,0.0,1.0,African Cup of Nations qualification,Upper Volta,False,Away,1967
6676,India,Pakistan,1.0,1.0,AFC Asian Cup qualification,Burma,True,Draw,1967
6677,Turkey,Czechoslovakia,0.0,0.0,UEFA Euro qualification,Turkey,False,Draw,1967
6678,Burma,Cambodia,1.0,0.0,AFC Asian Cup qualification,Burma,False,Home,1967
6679,Malaysia,New Zealand,2.0,8.0,Friendly,Malaysia,False,Away,1967
6680,Switzerland,Italy,2.0,2.0,UEFA Euro qualification,Switzerland,False,Draw,1967
6681,Burma,Pakistan,2.0,0.0,AFC Asian Cup qualification,Burma,False,Home,1967
6682,Belgium,Luxembourg,3.0,0.0,UEFA Euro qualification,Belgium,False,Home,1967
6683,Czechoslovakia,Republic of Ireland,1.0,2.0,UEFA Euro qualification,Czechoslovakia,False,Away,1967
6684,England,Northern Ireland,2.0,0.0,UEFA Euro qualification,England,False,Home,1967
6685,Romania,Germany,1.0,0.0,Friendly,Romania,False,Home,1967
6686,Scotland,Wales,3.0,2.0,UEFA Euro qualification,Scotland,False,Home,1967
6687,Senegal,Guinea,2.0,1.0,African Cup of Nations qualification,Senegal,False,Home,1967
6688,Benin,Congo DR,2.0,5.0,Friendly,Dahomey,False,Away,1967
6689,Zimbabwe,Mauritius,1.0,2.0,Friendly,Rhodesia,False,Away,1967
6690,Bulgaria,Portugal,1.0,0.0,UEFA Euro qualification,Bulgaria,False,Home,1967
6691,Burkina Faso,Côte d'Ivoire,3.0,2.0,Friendly,Upper Volta,False,Home,1967
6692,Grenada,St. Vincent / Grenadines,1.0,1.0,Windward Islands Tournament,Dominica,True,Draw,1967
6693,IR Iran,Turkey,0.0,1.0,Friendly,Pakistan,True,Away,1967
6694,Trinidad and Tobago,Jamaica,1.0,0.0,Friendly,Trinidad and Tobago,False,Home,1967
6695,Zimbabwe,Mauritius,2.0,3.0,Friendly,Rhodesia,False,Away,1967
6696,Dominica,St. Lucia,2.0,4.0,Windward Islands Tournament,Dominica,False,Away,1967
6697,Pakistan,Turkey,4.0,7.0,Friendly,Pakistan,False,Away,1967
6698,Netherlands,Russia,3.0,1.0,Friendly,Netherlands,False,Home,1967
6699,St. Lucia,St. Vincent / Grenadines,4.0,3.0,Windward Islands Tournament,Dominica,True,Home,1967
6700,Dominica,Grenada,2.0,4.0,Windward Islands Tournament,Dominica,False,Away,1967
6701,Grenada,St. Lucia,2.0,1.0,Windward Islands Tournament,Dominica,True,Home,1967
6702,Sierra Leone,Guinea,2.0,1.0,Friendly,Sierra Leone,False,Home,1967
6703,Trinidad and Tobago,Jamaica,1.0,0.0,Friendly,Trinidad and Tobago,False,Home,1967
6704,Dominica,St. Vincent / Grenadines,1.0,2.0,Windward Islands Tournament,Dominica,False,Away,1967
6705,Mali,Congo,1.0,1.0,Friendly,Mali,False,Draw,1967
6706,England,Russia,2.0,2.0,Friendly,England,False,Draw,1967
6707,Mauritius,Ethiopia,0.0,2.0,Friendly,Mauritius,False,Away,1967
6708,Mexico,Hungary,2.0,1.0,Friendly,Mexico,False,Home,1967
6709,Mexico,Hungary,0.0,2.0,Friendly,Mexico,False,Away,1967
6710,Saudi Arabia,Tunisia,4.0,0.0,Friendly,Saudi Arabia,False,Home,1967
6711,Chile,Hungary,4.0,5.0,Friendly,Chile,False,Away,1967
6712,Chile,Russia,1.0,4.0,Friendly,Chile,False,Away,1967
6713,Albania,Germany,0.0,0.0,UEFA Euro qualification,Albania,False,Draw,1967
6714,Kenya,Zambia,1.0,5.0,Friendly,Kenya,False,Away,1967
6715,Portugal,Bulgaria,0.0,0.0,UEFA Euro qualification,Portugal,False,Draw,1967
6716,France,Luxembourg,3.0,1.0,UEFA Euro qualification,France,False,Home,1967
6717,Italy,Switzerland,4.0,0.0,UEFA Euro qualification,Italy,False,Home,1967
