,home_team,away_team,home_score,away_score,tournament,country,neutral,outcome,year,continent
37740,Uzbekistan,Lebanon,2.0,0.0,Friendly,United Arab Emirates,True,Home,2016,Asia
37741,Guyana,Suriname,2.0,0.0,Friendly,Guyana,False,Home,2016,America
37742,French Guiana,Suriname,2.0,3.0,Friendly,French Guiana,False,Away,2016,America
37743,Egypt,Burkina Faso,2.0,0.0,Friendly,Egypt,False,Home,2016,Africa
37744,Sint Maarten,Anguilla,2.0,0.0,Friendly,Sint Maarten,False,Home,2016,America
37745,Iraq,Syria,0.0,1.0,Friendly,IR Iran,True,Away,2016,Asia
37746,United Arab Emirates,Bangladesh,6.0,1.0,Friendly,United Arab Emirates,False,Home,2016,Asia
37747,Cuba,Bermuda,2.0,1.0,CFU Caribbean Cup qualification,Cuba,False,Home,2016,America
37748,Antigua and Barbuda,Aruba,2.0,1.0,CFU Caribbean Cup qualification,Antigua and Barbuda,False,Home,2016,America
37749,Barbados,Curaçao,1.0,0.0,CFU Caribbean Cup qualification,Barbados,False,Home,2016,America
37750,Chad,Tanzania,0.0,1.0,African Cup of Nations qualification,Chad,False,Away,2016,Africa
37751,Croatia,Israel,2.0,0.0,Friendly,Croatia,False,Home,2016,Europe
37752,Gibraltar,Liechtenstein,0.0,0.0,Friendly,Gibraltar,False,Draw,2016,Europe
37753,Guadeloupe,Suriname,0.0,0.0,CFU Caribbean Cup qualification,Guadeloupe,False,Draw,2016,America
37754,Guinea-Bissau,Kenya,1.0,0.0,African Cup of Nations qualification,Guinea-Bissau,False,Home,2016,Africa
37755,Martinique,British Virgin Islands,3.0,0.0,CFU Caribbean Cup qualification,Martinique,False,Home,2016,America
37756,Poland,Serbia,1.0,0.0,Friendly,Poland,False,Home,2016,Europe
37757,Romania,Lithuania,1.0,0.0,Friendly,Romania,False,Home,2016,Europe
37758,São Tomé and Príncipe,Libya,2.0,1.0,African Cup of Nations qualification,São Tomé and Príncipe,False,Home,2016,Africa
37759,Slovenia,North Macedonia,1.0,0.0,Friendly,Slovenia,False,Home,2016,Europe
37760,South Sudan,Benin,1.0,2.0,African Cup of Nations qualification,South Sudan,False,Away,2016,Africa
37761,Zambia,Congo,1.0,1.0,African Cup of Nations qualification,Zambia,False,Draw,2016,Africa
37762,Australia,Tajikistan,7.0,0.0,FIFA World Cup qualification,Australia,False,Home,2016,Asia
37763,Bahrain,Yemen,3.0,0.0,FIFA World Cup qualification,Bahrain,False,Home,2016,Asia
37764,Bolivia,Colombia,2.0,3.0,FIFA World Cup qualification,Bolivia,False,Away,2016,America
37765,Chile,Argentina,1.0,2.0,FIFA World Cup qualification,Chile,False,Away,2016,America
37766,China PR,Maldives,4.0,0.0,FIFA World Cup qualification,China PR,False,Home,2016,Asia
37767,Comoros,Botswana,1.0,0.0,African Cup of Nations qualification,Comoros,False,Home,2016,Africa
37768,Czech Republic,Scotland,0.0,1.0,Friendly,Czech Republic,False,Away,2016,Europe
37769,Denmark,Iceland,2.0,1.0,Friendly,Denmark,False,Home,2016,Europe
37770,Djibouti,Liberia,0.0,1.0,African Cup of Nations qualification,Djibouti,False,Away,2016,Africa
37771,Ecuador,Paraguay,2.0,2.0,FIFA World Cup qualification,Ecuador,False,Draw,2016,America
37772,Estonia,Norway,0.0,0.0,Friendly,Estonia,False,Draw,2016,Europe
37773,Ghana,Mozambique,3.0,1.0,African Cup of Nations qualification,Ghana,False,Home,2016,Africa
37774,Greece,Montenegro,2.0,1.0,Friendly,Greece,False,Home,2016,Europe
37775,IR Iran,India,4.0,0.0,FIFA World Cup qualification,IR Iran,False,Home,2016,Asia
37776,Iraq,Thailand,2.0,2.0,FIFA World Cup qualification,IR Iran,True,Draw,2016,Asia
37777,Italy,Spain,1.0,1.0,Friendly,Italy,False,Draw,2016,Europe
37778,Japan,Afghanistan,5.0,0.0,FIFA World Cup qualification,Japan,False,Home,2016,Asia
37779,Jordan,Bangladesh,8.0,0.0,FIFA World Cup qualification,Jordan,False,Home,2016,Asia
37780,Korea Republic,Lebanon,1.0,0.0,FIFA World Cup qualification,Korea Republic,False,Home,2016,Asia
