,team,confederation,games,home_games,away_games,neutral_games,wins,home_wins,away_wins,neutral_wins,defeats,home_defeats,away_defeats,neutral_defeats,draws,home_draws,away_draws,neutral_draws,goals_scored,home_goals_scored,away_goals_scored,neutral_goals_scored,goals_conceded,home_goals_conceded,away_goals_conceded,neutral_goals_conceded
161,Serbia,UEFA,274,54,156,64,123,30,64,29,81,8,51,22,70,16,41,13,424,108,220,96,296,57,172,67
162,Seychelles,CAF,99,36,34,29,11,9,1,1,72,21,29,22,16,6,4,6,68,33,14,21,221,66,87,68
163,Sierra Leone,CAF,253,99,110,44,77,51,8,18,113,21,81,11,63,27,21,15,238,129,62,47,341,78,216,47
164,Singapore,AFC,471,217,123,131,138,82,21,35,240,94,70,76,93,41,32,20,575,330,92,153,848,356,224,268
165,Slovakia,UEFA,305,130,138,37,122,63,49,10,110,33,61,16,73,34,28,11,436,225,173,38,389,133,208,48
166,Slovenia,UEFA,260,117,117,26,92,55,32,5,104,40,53,11,64,22,32,10,322,175,117,30,310,129,140,41
167,Solomon Islands,OFC,145,39,42,64,59,20,11,28,57,12,22,23,29,7,9,13,291,73,59,159,299,45,121,133
168,Somalia,CAF,100,6,31,63,8,1,2,5,82,3,28,51,10,2,1,7,51,3,18,30,288,7,95,186
169,South Africa,CAF,408,201,137,70,177,105,50,22,114,39,53,22,117,57,34,26,535,267,180,88,406,144,176,86
170,South Sudan,CAF,47,9,19,19,8,3,1,4,30,3,17,10,9,3,1,5,31,15,4,12,85,13,46,26
171,Spain,UEFA,702,313,273,116,410,220,123,67,127,36,68,23,165,57,82,26,1413,756,441,216,630,214,304,112
172,Sri Lanka,AFC,180,39,61,80,32,11,3,18,114,14,49,51,34,14,9,11,159,46,29,84,435,52,193,190
173,St. Kitts and Nevis,CONCACAF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174,St. Lucia,CONCACAF,167,57,68,42,61,28,16,17,82,22,43,17,24,7,9,8,253,108,75,70,320,92,145,83
175,St. Vincent / Grenadines,CONCACAF,117,32,41,44,49,19,13,17,39,6,18,15,29,7,10,12,196,56,67,73,175,34,81,60
176,Sudan,CAF,389,119,149,121,130,63,25,42,162,34,85,43,97,22,39,36,435,175,105,155,522,122,251,149
177,Suriname,CONCACAF,217,84,94,39,89,48,28,13,81,20,43,18,47,16,23,8,406,207,122,77,341,97,165,79
178,Sweden,UEFA,1022,453,460,109,504,272,190,42,294,88,173,33,224,93,97,34,2025,1089,781,155,1304,523,667,114
179,Switzerland,UEFA,801,391,352,58,285,175,90,20,340,131,185,24,176,85,77,14,1186,686,428,72,1328,549,693,86
180,Syria,AFC,399,74,166,159,145,36,38,71,154,18,81,55,100,20,47,33,568,158,163,247,531,65,274,192
181,São Tomé and Príncipe,CAF,48,20,21,7,8,6,1,1,35,12,17,6,5,2,3,0,37,17,16,4,116,32,64,20
182,Tahiti,OFC,138,2,58,78,65,1,19,45,52,0,29,23,21,1,10,10,298,4,72,222,252,3,121,128
183,Tajikistan,AFC,131,37,62,32,46,18,12,16,60,11,36,13,25,8,14,3,197,77,61,59,205,40,137,28
184,Tanzania,CAF,466,170,193,103,116,63,20,33,211,47,119,45,139,60,54,25,486,201,148,137,703,168,368,167
185,Thailand,AFC,560,261,122,177,208,133,18,57,216,64,75,77,136,64,29,43,834,457,124,253,854,285,246,323
186,Timor-Leste,AFC,7,0,6,1,0,0,0,0,6,0,5,1,1,0,1,0,8,0,6,2,33,0,30,3
187,Togo,CAF,381,138,157,86,118,69,23,26,163,35,92,36,100,34,42,24,407,193,112,102,512,124,269,119
188,Tonga,OFC,44,8,10,26,9,2,0,7,31,5,8,18,4,1,2,1,40,6,4,30,183,15,56,112
189,Trinidad and Tobago,CONCACAF,568,247,231,90,235,143,55,37,217,55,128,34,116,49,48,19,931,515,265,151,759,224,418,117
190,Tunisia,CAF,576,265,187,124,245,154,48,43,165,44,83,38,166,67,56,43,832,469,190,173,600,204,247,149
191,Turkey,UEFA,570,249,256,65,219,113,76,30,208,73,113,22,143,63,67,13,763,376,287,100,795,294,421,80
192,Turkmenistan,AFC,133,34,59,40,47,18,11,18,63,9,41,13,23,7,7,9,202,64,50,88,209,34,120,55
