,team,confederation,total_matches,neutral_matches,neutral_matches_wins,neutral_matches_losses,neutral_matches_draws,neutral_matches_goal_scored,neutral_matches_goal_conceded,home_matches,home_matches_wins,home_matches_losses,home_matches_draws,home_matches_goal_scored,home_matches_goal_conceded,away_matches,away_matches_wins,away_matches_losses,away_matches_draws,away_matches_goal_scored,away_matches_goal_conceded
40,China PR,AFC,574,168,80,53,35,317,182,219,128,42,49,456,216,187,63,74,50,233,224
41,Colombia,CONMEBOL,562,202,82,69,51,253,268,158,83,40,35,241,138,202,53,79,70,197,258
43,Congo,CAF,373,72,32,27,13,100,92,144,67,36,41,218,147,157,29,86,42,151,270
46,Costa Rica,CONCACAF,610,179,77,56,46,299,209,202,127,29,46,433,156,229,51,113,65,247,356
47,Croatia,UEFA,336,58,26,19,13,87,67,134,89,13,32,289,101,144,60,41,43,205,178
50,Cyprus,UEFA,375,7,1,4,2,4,12,208,56,108,44,228,350,160,14,130,16,93,457
51,Czech Republic,UEFA,315,53,25,21,7,83,69,124,84,24,16,279,100,138,60,40,38,198,144
52,Czechoslovakia,UEFA,477,43,15,19,9,62,63,188,119,25,44,474,216,246,81,107,58,352,383
53,Côte d'Ivoire,CAF,571,177,84,50,43,266,200,191,133,18,40,415,141,203,67,74,62,232,249
54,Denmark,UEFA,807,67,26,24,17,93,89,376,212,91,73,836,444,364,128,155,81,519,564
58,Ecuador,CONMEBOL,522,174,37,91,46,196,338,164,88,36,40,282,169,184,31,111,42,158,342
59,Egypt,CAF,622,171,83,48,40,289,170,250,165,41,44,506,193,201,57,71,73,197,247
60,El Salvador,CONCACAF,511,206,63,92,51,216,296,151,84,41,26,310,176,154,24,95,35,105,276
61,England,UEFA,1025,108,42,33,33,151,112,459,296,63,100,1103,398,458,246,101,111,982,488
64,Estonia,UEFA,487,50,11,24,15,55,96,206,67,88,51,241,288,231,43,146,42,191,484
65,Ethiopia,CAF,353,71,19,35,17,87,123,164,83,38,43,277,148,118,24,78,16,121,260
68,Finland,UEFA,754,48,18,20,10,51,52,309,100,148,61,457,612,397,77,236,84,377,900
