,date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,outcome,year,continent
202,1907-05-09,131.0,19.0,1.0,2.0,57.0,635.0,152.0,0.0,2.0,1907,3.0
203,1907-10-06,52.0,86.0,5.0,3.0,57.0,1324.0,24.0,0.0,1.0,1907,3.0
204,1907-11-03,86.0,12.0,4.0,1.0,57.0,280.0,99.0,0.0,1.0,1907,3.0
205,1908-02-15,138.0,61.0,1.0,3.0,17.0,184.0,179.0,0.0,2.0,1908,3.0
206,1908-03-07,159.0,203.0,2.0,1.0,17.0,492.0,189.0,0.0,1.0,1908,3.0
207,1908-03-08,178.0,69.0,1.0,2.0,57.0,575.0,212.0,0.0,2.0,1908,3.0
208,1908-03-14,138.0,159.0,0.0,5.0,17.0,487.0,179.0,0.0,2.0,1908,3.0
209,1908-03-16,203.0,61.0,1.0,7.0,17.0,1800.0,242.0,0.0,2.0,1908,3.0
210,1908-03-29,19.0,131.0,1.0,4.0,57.0,81.0,19.0,0.0,2.0,1908,3.0
211,1908-04-04,159.0,61.0,1.0,1.0,17.0,592.0,189.0,0.0,0.0,1908,3.0
212,1908-04-05,86.0,52.0,5.0,2.0,57.0,280.0,99.0,0.0,1.0,1908,3.0
213,1908-04-05,178.0,73.0,5.0,3.0,57.0,163.0,212.0,0.0,1.0,1908,3.0
214,1908-04-11,203.0,138.0,0.0,1.0,17.0,6.0,242.0,0.0,2.0,1908,3.0
215,1908-04-12,69.0,19.0,1.0,2.0,57.0,396.0,76.0,0.0,2.0,1908,3.0
216,1908-04-26,131.0,19.0,3.0,1.0,57.0,1404.0,152.0,0.0,1.0,1908,3.0
217,1908-05-03,12.0,86.0,4.0,0.0,57.0,1744.0,11.0,0.0,1.0,1908,3.0
218,1908-05-10,131.0,69.0,4.0,1.0,57.0,1404.0,152.0,0.0,1.0,1908,3.0
219,1908-06-06,12.0,61.0,1.0,6.0,57.0,1744.0,11.0,0.0,2.0,1908,3.0
220,1908-06-07,12.0,73.0,3.0,2.0,57.0,1744.0,11.0,0.0,1.0,1908,3.0
221,1908-06-08,12.0,61.0,1.0,11.0,57.0,1744.0,11.0,0.0,2.0,1908,3.0
222,1908-06-10,86.0,61.0,0.0,7.0,57.0,280.0,99.0,0.0,2.0,1908,3.0
223,1908-06-13,52.0,61.0,0.0,4.0,57.0,1324.0,24.0,0.0,2.0,1908,3.0
