,Unnamed: 0.1,date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,outcome,year,continent
26994,30003,2008-02-06,Republic of Ireland,Brazil,0.0,1.0,Friendly,Dublin,Republic of Ireland,False,Away,2008,Europe
26995,30004,2008-02-06,Israel,Romania,1.0,0.0,Friendly,Ramat-Gan,Israel,False,Home,2008,Europe
26996,30005,2008-02-06,Italy,Portugal,3.0,1.0,Friendly,Zürich,Switzerland,True,Home,2008,Europe
26997,30006,2008-02-06,Jamaica,Costa Rica,1.0,1.0,Friendly,Kingston,Jamaica,False,Draw,2008,America
26998,30007,2008-02-06,Japan,Thailand,4.0,1.0,FIFA World Cup qualification,Saitama,Japan,False,Home,2008,Asia
26999,30008,2008-02-06,Jordan,Korea DPR,0.0,1.0,FIFA World Cup qualification,Amman,Jordan,False,Away,2008,Asia
27000,30009,2008-02-06,Kazakhstan,Moldova,0.0,1.0,Friendly,Antalya,Turkey,True,Away,2008,Europe
27001,30010,2008-02-06,Korea Republic,Turkmenistan,4.0,0.0,FIFA World Cup qualification,Seoul,Korea Republic,False,Home,2008,Asia
27002,30011,2008-02-06,Lebanon,Uzbekistan,0.0,1.0,FIFA World Cup qualification,Beirut,Lebanon,False,Away,2008,Asia
27003,30012,2008-02-06,North Macedonia,Serbia,1.0,1.0,Friendly,Skopje,North Macedonia,False,Draw,2008,Europe
27004,30013,2008-02-06,Malta,Belarus,0.0,1.0,Malta International Tournament,Attard,Malta,False,Away,2008,Europe
27005,30014,2008-02-06,Nicaragua,Curaçao,0.0,1.0,FIFA World Cup qualification,Diriamba,Nicaragua,False,Away,2008,America
27006,30015,2008-02-06,Northern Ireland,Bulgaria,0.0,1.0,Friendly,Belfast,Northern Ireland,False,Away,2008,Europe
27007,30016,2008-02-06,Oman,Bahrain,0.0,1.0,FIFA World Cup qualification,Muscat,Oman,False,Away,2008,Asia
27008,30017,2008-02-06,Saudi Arabia,Singapore,2.0,0.0,FIFA World Cup qualification,Riyadh,Saudi Arabia,False,Home,2008,Asia
27009,30018,2008-02-06,Slovenia,Denmark,1.0,2.0,Friendly,Nova Gorica,Slovenia,False,Away,2008,Europe
27010,30019,2008-02-06,Spain,France,1.0,0.0,Friendly,Málaga,Spain,False,Home,2008,Europe
27011,30021,2008-02-06,Turkey,Sweden,0.0,0.0,Friendly,Istanbul,Turkey,False,Draw,2008,Europe
27012,30022,2008-02-06,Turks and Caicos Islands,St. Lucia,2.0,1.0,FIFA World Cup qualification,Providenciales,Turks and Caicos Islands,False,Home,2008,America
27013,30023,2008-02-06,United Arab Emirates,Kuwait,2.0,0.0,FIFA World Cup qualification,Abu Dhabi,United Arab Emirates,False,Home,2008,Asia
27014,30024,2008-02-06,Uruguay,Colombia,2.0,2.0,Friendly,Montevideo,Uruguay,False,Draw,2008,America
27015,30025,2008-02-06,USA,Mexico,2.0,2.0,Friendly,Houston,USA,False,Draw,2008,America
27016,30026,2008-02-06,Venezuela,Haiti,1.0,1.0,Friendly,Puerto la Cruz,Venezuela,False,Draw,2008,America
27017,30027,2008-02-06,Wales,Norway,3.0,0.0,Friendly,Wrexham,Wales,False,Home,2008,Europe
27018,30028,2008-02-07,Ghana,Cameroon,0.0,1.0,African Cup of Nations,Accra,Ghana,False,Away,2008,Africa
27019,30029,2008-02-07,Côte d'Ivoire,Egypt,1.0,4.0,African Cup of Nations,Kumasi,Ghana,True,Away,2008,Africa
27020,30030,2008-02-09,Ghana,Côte d'Ivoire,4.0,2.0,African Cup of Nations,Kumasi,Ghana,False,Home,2008,Africa
27021,30034,2008-02-10,Cameroon,Egypt,0.0,1.0,African Cup of Nations,Accra,Ghana,True,Away,2008,Africa
27022,30036,2008-02-17,China PR,Korea Republic,2.0,3.0,EAFF Championship,Chongqing,China PR,False,Away,2008,Asia
27023,30037,2008-02-17,Japan,Korea DPR,1.0,1.0,EAFF Championship,Chongqing,China PR,True,Draw,2008,Asia
27024,30038,2008-02-20,China PR,Japan,0.0,1.0,EAFF Championship,Chongqing,China PR,False,Away,2008,Asia
27025,30039,2008-02-20,Korea Republic,Korea DPR,1.0,1.0,EAFF Championship,Chongqing,China PR,True,Draw,2008,Asia
27026,30040,2008-02-23,China PR,Korea DPR,3.0,1.0,EAFF Championship,Chongqing,China PR,False,Home,2008,Asia
27027,30041,2008-02-23,Japan,Korea Republic,1.0,1.0,EAFF Championship,Chongqing,China PR,True,Draw,2008,Asia
27028,30042,2008-02-24,Guyana,Cuba,0.0,0.0,Friendly,Georgetown,Guyana,False,Draw,2008,America
27029,30043,2008-02-27,Dominican Republic,Haiti,1.0,2.0,Friendly,San Cristóbal,Dominican Republic,False,Away,2008,America
27030,30044,2008-02-27,Poland,Estonia,2.0,0.0,Friendly,Wronki,Poland,False,Home,2008,Europe
27031,30045,2008-02-28,Dominican Republic,Haiti,0.0,2.0,Friendly,San Cristóbal,Dominican Republic,False,Away,2008,America
27032,30046,2008-03-04,Qatar,Bahrain,1.0,2.0,Friendly,Doha,Qatar,False,Away,2008,Asia
27033,30047,2008-03-09,Mauritius,Madagascar,1.0,2.0,Friendly,Curepipe,Mauritius,False,Away,2008,Africa
27034,30048,2008-03-11,South Africa,Zimbabwe,2.0,1.0,Friendly,Germiston,South Africa,False,Home,2008,Africa
27035,30049,2008-03-14,British Virgin Islands,US Virgin Islands,0.0,0.0,Friendly,Road Town,British Virgin Islands,False,Draw,2008,America
27036,30050,2008-03-15,British Virgin Islands,US Virgin Islands,1.0,1.0,Friendly,Road Town,British Virgin Islands,False,Draw,2008,America
27037,30051,2008-03-15,China PR,Thailand,3.0,3.0,Friendly,Kunming,China PR,False,Draw,2008,Asia
27038,30052,2008-03-16,Iceland,Faroe Islands,3.0,0.0,Friendly,Kópavogur,Iceland,False,Home,2008,Europe
27039,30053,2008-03-16,Qatar,Jordan,2.0,1.0,Friendly,Doha,Qatar,False,Home,2008,Asia
27040,30054,2008-03-19,Oman,United Arab Emirates,1.0,1.0,Friendly,Muscat,Oman,False,Draw,2008,Asia
27041,30055,2008-03-19,Trinidad and Tobago,El Salvador,1.0,0.0,Friendly,Macoya,Trinidad and Tobago,False,Home,2008,America
27042,30056,2008-03-21,Bahrain,IR Iran,1.0,0.0,Friendly,Manama,Bahrain,False,Home,2008,Asia
27043,30057,2008-03-21,Kuwait,Iraq,0.0,0.0,Friendly,Kuwait City,Kuwait,False,Draw,2008,Asia
27044,30058,2008-03-22,Singapore,Australia,0.0,0.0,Friendly,Singapore,Singapore,False,Draw,2008,Asia
27045,30059,2008-03-22,Uzbekistan,Jordan,4.0,1.0,Friendly,Tashkent,Uzbekistan,False,Home,2008,Asia
27046,30060,2008-03-23,Venezuela,El Salvador,1.0,0.0,Friendly,Puerto Ordaz,Venezuela,False,Home,2008,America
27047,30061,2008-03-25,Gabon,Congo DR,0.0,0.0,Friendly,Aubervilliers,France,True,Draw,2008,Europe
27048,30062,2008-03-25,Nepal,Pakistan,2.0,1.0,Friendly,Pokhara,Nepal,False,Home,2008,Asia
27049,30063,2008-03-25,Togo,Guinea,0.0,2.0,Friendly,Paris,France,True,Away,2008,Europe
27050,30064,2008-03-26,Algeria,Congo DR,1.0,1.0,Friendly,Nanterre,France,True,Draw,2008,Europe
27051,30065,2008-03-26,Andorra,Latvia,0.0,3.0,Friendly,Sant Julià de Lòria,Andorra,False,Away,2008,Europe
27052,30066,2008-03-26,Anguilla,El Salvador,0.0,4.0,FIFA World Cup qualification,Washington,USA,True,Away,2008,America
27053,30067,2008-03-26,Antigua and Barbuda,Aruba,1.0,0.0,FIFA World Cup qualification,St. John's,Antigua and Barbuda,False,Home,2008,America
27054,30068,2008-03-26,Armenia,Kazakhstan,1.0,0.0,Friendly,Pernis,Netherlands,True,Home,2008,Europe
27055,30069,2008-03-26,Austria,Netherlands,3.0,4.0,Friendly,Vienna,Austria,False,Away,2008,Europe
27056,30070,2008-03-26,Bahamas,British Virgin Islands,1.0,1.0,FIFA World Cup qualification,Nassau,Bahamas,False,Draw,2008,America
27057,30071,2008-03-26,Bahrain,Japan,1.0,0.0,FIFA World Cup qualification,Riffa,Bahrain,False,Home,2008,Asia
27058,30072,2008-03-26,Barbados,Dominica,1.0,0.0,FIFA World Cup qualification,Bridgetown,Barbados,False,Home,2008,America
27059,30073,2008-03-26,Belarus,Turkey,2.0,2.0,Friendly,Minsk,Belarus,False,Draw,2008,Europe
27060,30074,2008-03-26,Belgium,Morocco,1.0,4.0,Friendly,Brussels,Belgium,False,Away,2008,Europe
27061,30075,2008-03-26,Bosnia and Herzegovina,North Macedonia,2.0,2.0,Friendly,Zenica,Bosnia and Herzegovina,False,Draw,2008,Europe
27062,30076,2008-03-26,Botswana,Zimbabwe,0.0,1.0,Friendly,Gaborone,Botswana,False,Away,2008,Africa
27063,30077,2008-03-26,Brazil,Sweden,1.0,0.0,Friendly,London,England,True,Home,2008,Europe
27064,30078,2008-03-26,Bulgaria,Finland,2.0,1.0,Friendly,Sofia,Bulgaria,False,Home,2008,Europe
27065,30079,2008-03-26,China PR,Australia,0.0,0.0,FIFA World Cup qualification,Kunming,China PR,False,Draw,2008,Asia
